plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam,frmass
Phoradendron_tucumanense,Euphonia_cyanocephala,Di_Pauli,masher,5.97,7.5,6.3,0.12
Myrsine_coriacea,Manacus_manacus,Correia_(1997),gulper,5.882352941,10.5826087,3.262,0.025558333
Myrsine_coriacea,Legatus_leucophaius,de_Jesus_e_Monteiro-Filho_(2007),gulper,5.871212121,13.2,3.262,0.025558333
Ficus_sp.,Ocyceros_birostris,Blendinger,gulper,5.81,NA,NA,NA
Miconia_theaezans,Tyrannus_melancholicus,Am?ncio_&_Melo_(2008),gulper,5.790834799,14.63333333,NA,NA
Trema_micrantha,Ramphocelus_bresilius,Correia_(1997),masher,5.62248996,11.73061224,3.366666667,0.019
Vitis_vulpina,Catharus_guttatus,Malmborg_and_Willson,gulper,5.6,11.2,9.8,NA
Myrciaria_ciliolata,Turdus_leucomelas,Gondim_(2002),gulper,5.5,14.1125,7.6,0.24
Plocama_pendula,Sylvia_melanocephala,Nogales_et_al.,gulper,5.5,NA,8.9,NA
Miconia_chamissois,Thraupis_sayaca,Am?ncio_&_Melo_(2008),masher,5.49315715,12,5.4,0.1
Vitis_vulpina,Catharus_minimus,Malmborg_and_Willson,gulper,5.4,10.3,9.8,NA
Alchornea_glandulosa,Turdus_rufiventris,Zimmermann_(1996),gulper,5.39,14.50625,4.4,0.075
Schefflera_morototoni,Cacicus_cela,Purifica??o_et_al._(2015),gulper,5.380434783,14.8,9.2,0.6
Myrsine_coriacea,Vireo_olivaceus,Pascotto_(2007),gulper,5.376344086,10.23571429,3.262,0.025558333
Miconia_albicans,Antilophia_galeata,Silva_and_de_Melo,gulper,5.36,7.3,7.62,0.195
Miconia_ligustroides,Tangara_cayana,Allenspach_et_al._(2012),masher,5.320833333,8.65,5.715,0.105
Euterpe_edulis,Procnias_nudicollis,Castro_(2003),gulper,5.294117647,22.2,13.3575,1.4475
Miconia_theaezans,Tachyphonus_rufus,Borges_and_Melo,masher,5.28,NA,NA,NA
Acnistus_arborescens,Forpus_xanthopterygius,Athi?_e_Dias_(2010),masher,5.263157895,9.15,7.135,0.195
Curatella_americana,Tyrannus_melancholicus,Pascotto_et_al._(2012),gulper,5.263157895,14.63333333,13.9275,3.9905
Miconia_ligustroides,Thraupis_palmarum,Allenspach_et_al._(2012),masher,5.263157895,12,5.715,0.105
Miconia_albicans,Tyrannus_melancholicus,Allenspach_e_Dias_(2012),gulper,5.179282869,14.63333333,7.62,0.195
Curatella_americana,Patagioenas_picazuro,Pascotto_et_al._(2012),gulper,5.176470588,NA,13.9275,3.9905
Pera_glabrata,Nemosia_pileata,Francisco_et_al._(2007),masher,5.172413793,NA,3.7075,0.0255
Aegiphyla_sellowiana,Tangara_mexicana,Correia_(1997),masher,5.128205128,8.65,7.1,NA
Pera_glabrata,Cyanocorax_chrysops,Francisco_et_al._(2007),gulper,5.094117647,19.5,3.7075,0.0255
Phoradendron_affine,Pitangus_sulphuratus,Maruyama_et_al._(2012),gulper,5.09375,16.35,6.3,NA
Ilex_paraguariensis,Thraupis_bonariensis,Colussi_e_Prestes_(2011),masher,5.090909091,10.54,6.807,0.211
Prunus_mahaleb,Columba_palumbus,Jordano_and_Schupp,gulper,5.09,16,8.8,NA
Myrsine_coriacea,Empidonomus_varius,Pascotto_(2007),gulper,5.056179775,11.5,3.262,0.025558333
Myrsine_umbellata,Antilophia_galeata,Silva_and_de_Melo,gulper,5.05,7.3,6.57,0.208
Eugenia_uniflora,Parula_pitiayumi,Colussi_e_Prestes_(2011),gulper,5,6.2,18.95,0.76
Euterpe_edulis,Pyroderus_scutatus,Castro_(2003),gulper,5,25,13.3575,1.4475
